#Fastq_screen version: 0.16.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	14758	338	2.28	7863	53.28	3888	26.35	543	3.68	2126	14.41
Mouse	14758	12696	86.02	4	0.03	0	0.00	823	5.58	1235	8.37
Rat	14758	12546	85.00	1	0.01	0	0.00	662	4.49	1549	10.50
Drosophila	14758	14510	98.32	0	0.00	1	0.01	18	0.12	229	1.55
Worm	14758	14592	98.87	0	0.00	0	0.00	82	0.56	84	0.57
Yeast	14758	14523	98.40	0	0.00	0	0.00	4	0.03	231	1.57
Arabidopsis	14758	14510	98.32	0	0.00	0	0.00	13	0.09	235	1.59
Ecoli	14758	14758	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	14758	13360	90.53	0	0.00	0	0.00	142	0.96	1256	8.51
MT	14758	14712	99.69	0	0.00	0	0.00	44	0.30	2	0.01
PhiX	14758	14758	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	14758	14758	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	14758	14746	99.92	0	0.00	0	0.00	7	0.05	5	0.03
Adapters	14758	14748	99.93	1	0.01	0	0.00	0	0.00	9	0.06

%Hit_no_genomes: 2.18
